index,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
5038,trish22bee,4th generation Native San Franciscan on both sides of family; Democrat; #KeeptheFaith,,3735,1978,135481,25,"I’m always willing to reach out to her and explain what’s needed to save American lives. We need the whole country rowing in the same direction, i.e., vaccinated against COVID19, to beat this awful virus and B.1.1.7 variant. B.1.1.7 doesn’t care if you are Democrat or Republican https://t.co/tHxfyb9Ezs",[]
5039,AManCalledH,"Canadian, Working Class/Poverty advocate. Freedom of thought, press & speech. Fight for science & reason.  Trickle Up Economist. Atheist / Burgeoning Luddite",Canada,1303,1100,28761,605,"Patient brought to ER.

Been ill but can't afford to stay home due to #precariouswork.

Tests +ve for #COVID19.

Respiratory status worsens - needs an ICU bed.

The govt will cover entire hospital costs which may be over 100k. 

#PaidSickDays wld hv been cheaper and &gt; humane.","['precariouswork', 'COVID19']"
5040,rielity_,loona ⅓ supremacy ☆ smc ²²,h(orny)e / him,580,694,56651,1156,Being vaccinated does not mean you will not get infected with COVID-19!! Being vaccinated lessens your risk of having moderate-severe disease that will need hospitalization!! #COVID19,[]
5041,EnnaerSupe,Loves being a nurse.,"Woodbridge, Ontario, Canada",252,26,1961,0,"The third wave is real! Three thousand cases per day in the last 2 days, the Ontario gov’t shouldn’t only step on the “emergency break” but a announced a stay-at-home order. The immunization rate is too slow to counter what this 3rd wave has to offer. 
#COVID19",['COVID19']
5042,PhmSonia,"Mama, Huuuuge Raptors fan, Pharmacist,
Born and raised in the 6ix.",,595,315,11869,909,"(Posted with permission)
47 y old teacher totally healthy.
#Covid19 +ve student contact.
Now intubated in ICU.
Explain why schools aren't safer.
Explain why teachers aren't vaccinated. 
Explain why essential workers now fill our ICUs in Ontario. 
Explain.",['Covid19']
5043,DrBurkeHarris,"1st California Surgeon General. Pediatrician, researcher, mom and author of #TheDeepestWell. Founder @CYWSanFrancisco.  Personal account.","San Francisco, CA",532,42627,4222,19,"California COVID-19, By The Numbers:

🔹 Confirmed cases to date: 3,573,074
🔹 Note: Numbers may not represent true day-over-day change as reporting of test results can be delayed

More information at https://t.co/TLLUGwPGY7. https://t.co/JjJebTOfYa",[]
5044,readthroughlife,Thirty-something teacher blogging mostly about books and tweeting mostly about social justice and the Ontario public education system. {she/they},Toronto,872,781,10923,909,"(Posted with permission)
47 y old teacher totally healthy.
#Covid19 +ve student contact.
Now intubated in ICU.
Explain why schools aren't safer.
Explain why teachers aren't vaccinated. 
Explain why essential workers now fill our ICUs in Ontario. 
Explain.",['Covid19']
5045,ShubhroMukherji,"Not that left-liberal you wanted me to be.
Not that politically correct you expected me to become.
Also not that conservative you wished to find in me.","Dhaka, India",28,43,24780,391,"Mumbai just crossed 9,000 fresh Covid19 cases in a single day for the first time in the pandemic.",[]
5046,AndiePlace,Peace ✌️love my Canada 🇨🇦 also love ❤️ family ! Wife Daughter Sister and Mom to Andie. I don’t hesitate to block the senseless,The Hammer Ontario Canada,3140,1664,30596,7,"Canada was initially scheduled to receive a total of 6M vaccines by the end of the first quarter. With Pfizer, Moderna, and AstraZeneca, 🇨🇦 has now received 9.5M #COVID19 vaccines!

Things we still all have to do:
😷 Wear a mask 
🏠 Stay Home
🧼 Wash your hands 
↔️ Safe distance https://t.co/Fn7zNUCiBt",[]
5047,DrJoyeeta,"Physician , CoFounder Doctors Hub. “Make me a water dancer and a wolf and not afraid again, ever.”","Gurgaon ,India",54,4993,14061,4,"While Covid19 is no laughing matter
I just had to share this

#laughteristhebestmedicine 
#WhatsAppForward https://t.co/yUe3opnM77","['laughteristhebestmedicine', 'WhatsAppForward']"
5048,nrainameera,"appa, yip yip.",,402,63,2223,5,"@andrew_ongkh Let paraphrase that, UK had 30 millions vaccinated, but still enforcing Covid19 rules, while Malaysia had only 200k+ vaccinated yet flaunting rules like we've vaccinated everyone.",[]
5049,kk131066,"SAY WHAT YOU MEAN & MEAN WHAT YOU SAY

True luxury is #love #friendship #health = #money can't buy

WARNING: I'm not politically correct
#Humanity #HumanRights","Kuala Lumpur, Malaysia",30655,31409,75754,6,"Freedom of #racism eliminates #freedom 

No Freedom = No #democracy = #NojusticeNopeace = NO FUTURE

#DoTheRightThing 

#Trump #Trumpism #TrumpVirus #COVID19 #Genocide #WhiteSupremacy #CapitolRiots #TraitorTrump #GOPTraitors #Biden #JoeBiden #HumanRights #Truth #humanity #Facts https://t.co/AZ1TuxtgKy","['racism', 'freedom', 'democracy', 'NojusticeNopeace', 'DoTheRightThing']"
5050,Raqif_M,"How do you ever expect your heart to become polished like a mirror without putting up with the polish of pain.~Rumi~
Retweets & likes doesn't mean endorsements.",Srinagar Jammu And Kashmir,279,574,18456,5,"#Cancer patients who have been treated with all types of anticancer drugs have as much as a 40% increased likelihood of dying from #COVID19 than non-cancer patients.
#Coronavirus | #Vaccine 
https://t.co/TnM8wT877Y",['Cancer']
5051,cahotiyermadi,"believes at revenge.. CH💥🖤🖤❣
 #LeagueOf Warriors",,1037,1040,60743,263,"4) can it get worse? Yes. It could be like Mexico, which new numbers now even exceed Brazil’s official #COVID19 death count. https://t.co/k5agLH9HE8",['COVID19']
5052,dmorales115,"very, very RT heavy. but sometimes I say stuff!
pounding @eggsenpai IRL NOW","Hellworld, Florida",1163,84,37434,228,"Mexico's masked Lucha wrestlers lent their support to the elderly at a #COVID19 vaccination site in Mexico City.

Watch more videos from Sky News: https://t.co/Te6c05Wa9u https://t.co/4EQMRWHoiq",['COVID19']
5053,moneycontrolcom,"Moneycontrol is India’s No. 1 financial portal. Tune in for breaking news, in-depth analyses, best investment tools. Get #MCPro for exclusive content & benefits",Mumbai,298,1062021,293887,5,".@CSMIA_Official said it will levy a fine of Rs 1,000 on any individual found violating the COVID19 safety protocols at the airport. 

#Mumbai #Coronavirus #COVID19 

https://t.co/WoeHHtOFth","['Mumbai', 'Coronavirus', 'COVID19']"
5054,litahart72,🌹🐿😍🌍🙏💕 environmentalist with eyes wide open! #socialism #extinctionrebellion #nodapl #M4A #greennewdeal #stopline3 #StandWithSurvivors,,4770,2926,94457,263,"4) can it get worse? Yes. It could be like Mexico, which new numbers now even exceed Brazil’s official #COVID19 death count. https://t.co/k5agLH9HE8",['COVID19']
5055,30DaysNow,Discover our Mindfulness and Meditation books on Amazon - just look for authors Harper Daniels and Corin Devaso. You can also visit https://t.co/c4v4JcN4XP.,,2523,3143,1671,0,"@BBCWorld The ""Vaccine Journal"" on Amazon is a great way to keep record of vaccinations and immunizations. Get one for yourself and family and #retweet! #VaccineJournal #vaccine #vaccinepassports #immunization #covid #covid19 #covidvaccine #COVID19Vaccine #immune

https://t.co/dE9y7k9qWc","['retweet', 'VaccineJournal', 'vaccine', 'vaccinepassports', 'immunization', 'covid', 'covid19', 'covidvaccine', 'COVID19Vaccine', 'immune']"
5056,andrewsbowie,Philosopher (Professor Emeritus of Philosophy and German at Royal Holloway University of London) and jazz saxophonist,"Cambridge, UK",1487,1335,62356,3793,"I cry for the people of Brazil 🇧🇷

#P1 is serious. The world better wake up. 

(HT @MaxCRoser &amp; @OurWorldInData) #COVID19 https://t.co/uradMAlJeN","['P1', 'COVID19']"
5057,kaapitano,The leadership principals and trait's are the values we need to carry with ourselves in the service of humanity.,,4201,1214,4617,1,Could it be a possible money laundering scheme by power brokers and taking advantage of the covid19 pandemic? https://t.co/7vHJV46pHM,[]
5058,yarbrough_becky,Love my family and my life. I am ready for a giant Blue Wave! let’s go Texas!!!!,,937,141,7710,3793,"I cry for the people of Brazil 🇧🇷

#P1 is serious. The world better wake up. 

(HT @MaxCRoser &amp; @OurWorldInData) #COVID19 https://t.co/uradMAlJeN","['P1', 'COVID19']"
5059,Arumuga92180425,skian,,109,33,3822,12,"#TamilNadu | #COVID19 |  03 April

● TN - 3,446

● Total Cases  - 8,96,266

● Chennai - 1,290

● Today's  Discharged - 1,834

● Today's Deaths - 14

#TNCoronaUpdates  #COVID19India #TNCORONA","['TamilNadu', 'COVID19']"
5060,GojLTTnlHT3nT7W,不羨慕他的成功，但絕對敬佩他的人格和付出以及所從事，感謝在歷史的一段經歷偉大的時代并榮幸的遇到了最偉大的人。他拯救了中國，也拯救了美國及全世界的人。17年至今 ，在我心中他已經完全成為一種信仰！不消不滅！支撐著並帶我走向更加接近真善美……希望實現祈福目标和喜馬拉雅後家人與世人可以享受神之恩賜的美好！,,18,369,17606,504,"#WarRoomPandemic, 2 Apr 2021
- 3rd Yan Report (link on my pinned tweet) composes of one opening statement (easy for layman) &amp; two point-point scientific responses to refute nature-origin of #COVID19 
- Scientific misinformation campaign is part of CCP’s #UnrestrictedBiowarfare https://t.co/U7pwgRNtS5",['WarRoomPandemic']
5061,CardioVisualApp,"Trusted & Comprehensive Cardiovascular, Diabetes and Heart Health Information. 

Created by Doctors - for Everyone!

Download: https://t.co/tgJC2ZZjIW",USA,1467,9896,4296,47,"Covid-19 Rx: Your task is to gather data, develop a differential diagnosis, order additional diagnostic tests, and treat the patient. (Optimized for desktop PCs and most tablets.) #COVID19",[]
5062,DeeNaula,"It is what it is, but always be kind✨🍃","Toronto, Ontario",222,251,15547,169,"Ontario is reporting 3,009 cases of #COVID19 today and 3,089 cases reported yesterday. Today, there are 954 new cases in Toronto, 434 in Peel, 348 in York Region, 205 in Ottawa and 146 in Hamilton.

Over 59,100 tests were completed on April 2nd and over 62,300 tests on April 1st.",['COVID19']
5063,lennyntwana,https://t.co/5IGCzyLR0c ❤️ Orlando Pirates & Liverpool,"Johannesburg, South Africa",1032,1645,92650,22,"The Kruger National Park has been inundated with tourists and has reached the maximum number of visitors allowed for the long weekend. #tourism #COVID19 

https://t.co/C2PfVwVppp",[]
5064,NYCJulieNYC,Immigration lawyer. Feminist. BDS & BLM supporter. Activist on a good day. Bachatera on a great day. Cookie Monster is my life coach. (pronouns she/her/hers),NYC,297,2344,236810,14,"'We're going to fight the fire, but the fire is going to be there when we leave' -- Situation in Ontario ICUs like a never-ending battle amid #COVID19 third wave, says nurse https://t.co/TluNb1gqV1 via @CBCDay6  #cdnhealth #onpoli",[]
5065,tumisangmafora,https://t.co/GQf8Wh0ZPl,Johannesburg|Mafikeng,1518,2168,163876,22,"The Kruger National Park has been inundated with tourists and has reached the maximum number of visitors allowed for the long weekend. #tourism #COVID19 

https://t.co/C2PfVwVppp",[]
5066,cmilitant,,,2363,160,70628,909,"(Posted with permission)
47 y old teacher totally healthy.
#Covid19 +ve student contact.
Now intubated in ICU.
Explain why schools aren't safer.
Explain why teachers aren't vaccinated. 
Explain why essential workers now fill our ICUs in Ontario. 
Explain.",['Covid19']
5067,gilroyart,Liberty and Justice for All! Si Se Puede #Resist #ImpeachNow,"California, USA",1202,278,26095,0,Fans can go to the Ballpark if they are Vaccinated or have a recent COVID19 Test. Go Giants! https://t.co/ktIuKFmOnZ,[]
5068,zuizai98,支持郭七条反对黑社会治国,"New York, NY",833,152,10754,147,"Origin of #COVID19 - Dr Yan Report

1st Yan Report 
https://t.co/9catxoP5Bu

2nd Yan Report
https://t.co/Gf4VSMheEt

3rd Yan Report 
https://t.co/IzUYZwYIyl

#CCPVirus
#UnrestrictedBioweapon 
#UnrestrictedScientificMisinformation https://t.co/I5y1ZR3k9c",['COVID19']
5069,dznruth,ruth struggle tweets,,553,865,24054,541,"BREAKING: #COVID19 cases in the Philippines reach 784,043 as the Department of Health reports 12,576 new cases Saturday, April 3, 2021.

There are 165,715 active cases in the country today. 

The @DOHgovph also announced 599 new recoveries; 604,905 total. https://t.co/NvjKFnGfUc",['COVID19']
5070,orr_robinson,"59, unashamed Labour member and atheist. Came out as gay aged 17. Happily civil partnered since 2006 to a man I've been with 30 years.

And Doctor Who fan!",,526,347,34291,0,@glenn_coin @biscuitsgod @JuliaHB1 @BorisJohnson There was no COVID19 blockades. There wasn't a travel ban until December 21 and lasted 48 hours when essential travel was again allowed subject to a negative COVID19 test. So that is a red herring. So this 'adjustment' is permanent then?,[]
5071,_covid_19_bot_,Tweeting stats about Covid-19. A @joe_scotto product.,,1,78,11850,0,"Cases: 130,397,449 (+23,799) 
Deaths: 2,840,462 (+180) 
Recovered: 73,890,865 (+10,161) 
Active Cases: 56,506,584 (43.33%)
Completed Cases: 76,731,327 (58.84%)
Mortality Rate: 2.18% (No Change)
Case Fatality Rate: 3.70% (No Change)

#COVID19 #Coronavirus #StayHome","['COVID19', 'Coronavirus', 'StayHome']"
5072,TVenedam,,,152,198,7717,57,"Unbelievable. This lab continues to pump out every vaccine under the sun EXCEPT for a #COVID19 vaccine.

They are making an investment for future preparedness now? Why not invest 16 months ago?

The incompetence of the Trudeau government is mind boggling.

#Cdnpoli @sanofipasteur https://t.co/kUEb1fWTOO",['COVID19']
5073,PtCreditVoter,Know first-hand the stealthy tyranny that is #PrestonConservative. Supporter of #PrivateSufficiencyPublicLuxury,,866,1276,82407,0,"6,098 more sickened &amp; another 38 #COVID19 deaths inlast 2 days.

#ForThePeople: remember this #FordFail government

But by all means, #KeepDancing, @RudyCuzzetto
@yelich_ivana! 🙄
#ONpoli #MissPoli
#MississaugaLakeshore
#VoteFordOut2022
#UnsafeApril
@celliottability
@NatKusendova https://t.co/4AmnEjmzhX","['COVID19', 'ForThePeople', 'FordFail', 'KeepDancing', 'ONpoli', 'MissPoli', 'MississaugaLakeshore', 'VoteFordOut2022', 'UnsafeApril']"
5074,DhaaGreekKing,"Born in the 6ix 
 https://t.co/XpAiVDePyU 
Fan of #LeafsForever #RavensFlock #Wethenorth #Bluejays  
 Future Junior IT Analyst 
Greek
Member Of #WayUpFam Stream Team",,4998,1765,109190,169,"Ontario is reporting 3,009 cases of #COVID19 today and 3,089 cases reported yesterday. Today, there are 954 new cases in Toronto, 434 in Peel, 348 in York Region, 205 in Ottawa and 146 in Hamilton.

Over 59,100 tests were completed on April 2nd and over 62,300 tests on April 1st.",['COVID19']
5075,1713eh,it’s a tragedy of our times that lunatics must lead the blind. King Lear,,719,988,75453,1,@CP24 So how much is the fine for @fordnation for not having a #COVID19 plan for #Ontario? #OntarioMockdown #onpoli,"['COVID19', 'Ontario', 'OntarioMockdown', 'onpoli']"
5076,StanleyEpstein,"Banking, Payments, Operations Risk & Back Office specialists and trainers",,208,4689,203128,0,Resistance to Peer to Peer Payments is Waning https://t.co/yGEGpuzzbH #banking #cash #covid19 #financialservices #P2P #payments https://t.co/kkW8KT8ekP,"['banking', 'cash', 'covid19', 'financialservices', 'P2P', 'payments']"
5077,andyinkster,"Law Student, Osgoode Hall JD 2023. Sole parent. trans queer rabble rouser. Abolish Defund. Housing is a right. #Reprojustice #A2J #landback #blm He/Him","T'Karonto, Turtle Island",1244,527,3097,0,"Covid infection is getting more dangerous: 
Ontario data: 62% higher risk hospitalization, 114% ICU, 40% death - across all ages, among patients infected with variants. 
Odds ratio shows risk relative to other people with non-variant Covid. 
https://t.co/0N5tX4rrWF",[]
5078,SiiiDaeo_tooo__,寛大な懐深き器で温かくみて下さいませ🙇🏻‍♀️優しさと正義が当たり前に通用する日本であれと心から切に願います。無言フォローお許し下さい🙇🏻‍♀️無力な人間ですが命に優しい日本国の変革に尽力尽す人生。動物愛護基金設立→@DoubutuINOCI 優しい人柄人間ウェルカム😊変な悪質サイトやエロ垢即ブロックします,One World 🌎❤️and 東京,4163,282,63529,0,"@AlbertBourla 
I have a request.
In Japan today,the number of COVID19 mutants is increasing and the number of infected people is increasing rapidly.
Japan now needs your COVID19 vaccine.
Please supply a vaccine that saves Japan peoples lives.
A wish from all Japanese.
Thank you.",[]
5079,jwskss,"Proud Deplorable throttled back by Twitter! I believe in freedom, independence, conservative agenda and smaller government. Love Pirates baseball & the MLB #NY",,2889,2550,27771,26,"@RealCandaceO Thats the thing, it’s not really a real pandemic, there’s too much of a coincidence that Flu disappeared and Covid19 all of the sudden took the whole space of infections like if flu and other health problems went on vacation. https://t.co/YHEbC37v5v",[]
5080,ImIcyIsh,Thinker. Speaker. Fighter.,"White Plains, NY",409,184,5599,2242,"I was stopped from visiting Kausa #COVID19 center (Thane). The center is abruptly closed, it's infrastructure stolen. I am now stopped to Expose this Ghotala and arrested and now taken to Kalva Police Station @BJP4Maharashtra @Dev_Fadnavis @BJP4India",['COVID19']
5081,andthereitisnt,,Canada,101,20,4474,15,"🧵📈 Ontario Key Indicators April 3
3,009 new cases 📈(59,117 tests, 5.0% positive 📈)
Rt 1.03
451 ICU 📈
16 Deaths 📈
 #Covid19 #Covid19Ontario #onhealth #onpoli 
https://t.co/zKoRbG4ELa https://t.co/Gu56yW3LPB",['Covid19']
5082,Nedal_altaoba,فلسطيني، سوري #Nedal2b,"Goslar, Germany",240,491,949,0,"Deforestation is one of the main causes of climate change. Forests cover 31% of the earth's land area, and each year the planet loses (18.7 million acres) of forests.
.
.
.
©️Nedal Al Taoba
https://t.co/UsFaR2aaD5
#Nedal2b #Art #coronavirus #COVID19 #logging #كورونا https://t.co/5SpwOtgxKk","['Nedal2b', 'Art', 'coronavirus', 'COVID19', 'logging', 'كورونا']"
5083,DianeKelly,Traveler,,1357,1316,71456,61,"It seems likely that #COVID19 will have contributed to nearly as many deaths in the US as the great influenza pandemic of 1918, and more than in any influenza outbreak in the US since then https://t.co/AlL3Id4gjO",['COVID19']
5084,Jasdeap,"Nation First 🇮🇳


Jai Hind 🇮🇳","Chandigarh, India",561,125,7640,13,"The Government of Punjab is with it’s citizens as #PunjabFightsCorona
Do you Know? 
-#COVID vaccine has two doses
-Getting only the first dose is not sufficient 
-Both doses need to be taken as per the prescribed schedule to develop antibodies
#MissionFateh #COVID19 https://t.co/Hnu6p4Fo65","['PunjabFightsCorona', 'COVID']"
5085,viralvideovlogs,"news news news and trends

https://t.co/2ScZqTGWgG",കേരളം,4516,6165,632552,1,@chicagosmayor living in fantasy land- #Chicago deserves better #COVID19 #LetsGoHawks https://t.co/X8Atyu8igs,"['Chicago', 'COVID19', 'LetsGoHawks']"
5086,manojgokak,"Manoj Kulkari--Software Sales Speci                                                  
Believes in Almighty Lord Jai Sri Ram***  
Jai Sri Ram Jai Sri Ram Jai....",India,4622,2458,134962,11,"My one of friend @drdineshsolunke filed RTI he got official death by covid19 vaccine in India no compensation to there family by government,that's why vaccinecourt is needed to filed criminal charges on those authority and company which Vax causes death. https://t.co/nI0AlboTZ1",[]
5087,Sadie28775299,,,1128,67,11976,3794,"I cry for the people of Brazil 🇧🇷

#P1 is serious. The world better wake up. 

(HT @MaxCRoser &amp; @OurWorldInData) #COVID19 https://t.co/uradMAlJeN","['P1', 'COVID19']"
5088,Bryniarski22,"working for the man and living the dream- a fan of the Blackhawks, BBQ, chick flicks, road trips, and pearl jam",Chicago and sometimes Canada,2492,328,22038,1,@chicagosmayor living in fantasy land- #Chicago deserves better #COVID19 #LetsGoHawks https://t.co/X8Atyu8igs,"['Chicago', 'COVID19', 'LetsGoHawks']"
5089,buildmycommunit,"BUILDmyCOMMUNITY unites people around #breakthrough projects to build a better world. Watch here for simple, smart solutions.","Ontario, Canada",2873,657,2987,139,"Effective April 3 at 12:01 a.m., Ontario is imposing a provincewide emergency brake as a result of an alarming surge in case numbers and #COVID19 hospitalizations across the province. This will be in place for at least four weeks. https://t.co/8nWvYwmg6X",[]
5090,nadhoo,Mother of 2 | Registered psychologist at MAHC.,Maldives,779,1106,2221,8,How can parents help kids build resilience through the many challenges of #COVID19? Dr. Julia Martin Burch suggests some ways to allow children to learn new skills and handle problems with an age-appropriate level of independence. https://t.co/ugpTYcNfmi,['COVID19']
5091,HelmanDaniel,"I'm a geoscientist working in mineralogy, sustainability and nonviolence.  I'm also trained in adult pedagogy, the arts, yoga and active in disability rights.","Yap, Micronesia",3472,1339,6780,0,"An interesting take on the 'lab origin' idea for the novel coronavirus.

https://t.co/lfhPaRaAWv

#COVID19 #pandemic #Wuhan","['COVID19', 'pandemic', 'Wuhan']"
5092,johnnyh92539958,,,293,128,19882,0,"#China's the biggest trading partner in the world. I think it is virtually 25 percent of world trade. So it's big in exports. It's big in imports. So China's rebound is very important for the world. And China recovered very fast from the pandemic #covid19
 https://t.co/uXHkNpfhrf https://t.co/syBRpJu9dp","['China', 'covid19']"
5093,Smackpitarz,"Talent Manager/Broadcast Journalist/Podcaster @lasgidi_thepodcast
Bookings: DM or email to  smackpeters@gmail.com","Lagos,Nigeria,West Africa",1298,1039,26956,226,"Nigerian doctors are on strike because @MBuhari pays them peanuts. But he is here paying millions to UK doctors. #HarassBuhariOutOfLondon. Abuja House, 2 Campden Hill, Kensington, W8 7AD. Observe #COVID19 protocols. Limit yourself to socially distanced groups of 6. Be nonviolent!",[]
5094,basumaster80,Please don't try to change your identity. live as you are.,Ahmedabad,662,208,6673,0,@SaketGokhale Reality of #CoronavirusIndia. Anyone knows status of #COVID19 in WB ??,"['CoronavirusIndia', 'COVID19']"
5095,biofilm_former,"Microbiologist, Marsh microbial ecology, antifascist, always/former filmmaker and lucid dreamer pronouns: she/her/they/them #JewsAgainstICE","Los Angeles, CA",310,301,33218,605,"Patient brought to ER.

Been ill but can't afford to stay home due to #precariouswork.

Tests +ve for #COVID19.

Respiratory status worsens - needs an ICU bed.

The govt will cover entire hospital costs which may be over 100k. 

#PaidSickDays wld hv been cheaper and &gt; humane.","['precariouswork', 'COVID19']"
5096,Sun_Moon_13,Founder of Evolve Enterprises Pvt Ltd | Founder of Evolve Travel & Tour Maldives | CFO & CS of Kara Construction Pvt Ltd.,Maldives,454,233,15961,1,"#COVID19 NM Sat. 4/2 ""numbers"" - THREAD

Daily @NMDOH suppresses data &amp; officially ""reports"" manipulations, lies, &amp; propaganda.

Daily Aji shows what's missing &amp; manipulated, what's lies &amp; propaganda. She's not paid for it. https://t.co/3SvEbSyLos Think $15/hr &amp; support her work. https://t.co/KfrhMTluOP",['COVID19']
5097,RealCedricDark,"""The truth will set you free, but first it will make you miserable."" - James A. Garfield | ER Doc | Writer | Influencer | Shaker of Fists",Planet of the Neaderthals 🌍,643,9054,25897,18,"our new paper is out: 

EM influencers’ twitter use in the early #COVID19 (mixed meths)

what we tweet matters.

with Maren Leibowitz (@NorthwesternEM resident first author!) @MKleinMD @JenniferChan7 @dmcmoster in @WestJEM 

#NoPaywall

https://t.co/xrMPZqUUE0 https://t.co/RNFlJrnqJl",['COVID19']
5098,dennmann17,Mini & Webcomic Creator. Resin Figure Maker and all around DIY Dynamo! https://t.co/ScSnVhjlX6 & https://t.co/LrZPsXLHkm,Arizona,404,588,20130,114,"PLEASE SHARE: There are still #COVID19 appointments available for next week at state sites in the Valley, #Tucson and #Yuma. You can register at https://t.co/o23yzPvFaa or by calling 844.542.8201 between 8 a.m. and 5 p.m. https://t.co/Hw36zCphVP","['COVID19', 'Tucson', 'Yuma']"
5099,RakeshBshukla,,,2080,695,21573,2242,"I was stopped from visiting Kausa #COVID19 center (Thane). The center is abruptly closed, it's infrastructure stolen. I am now stopped to Expose this Ghotala and arrested and now taken to Kalva Police Station @BJP4Maharashtra @Dev_Fadnavis @BJP4India",['COVID19']
5100,Jenn87434016,,,36,7,3941,5799,"Democrats have no problem requiring an ID for a #COVID19 vaccine, but a big problem requiring one to vote.",['COVID19']
5101,NdudiriChinaza1,Beautiful like the sun and moon...Music lover 🎼🎶❤💖.. Wanna be music producer,World,178,592,41070,226,"Nigerian doctors are on strike because @MBuhari pays them peanuts. But he is here paying millions to UK doctors. #HarassBuhariOutOfLondon. Abuja House, 2 Campden Hill, Kensington, W8 7AD. Observe #COVID19 protocols. Limit yourself to socially distanced groups of 6. Be nonviolent!",[]
5102,lanadelcanton,Former early childhood educator turned social care worker (homeless services) 📚 Studying Social Pol @ TCD passionate about social justice 🗣,,767,250,3806,29,"One in 10 women quit jobs over pressure of juggling work and pandemic home life -  ""[Women] are really at the end of their tether, with homeschooling and working from home, and the huge difficulties lone parents have faced,"" ⁦@OrlaNWCI⁩ #Covid19  https://t.co/E91kpStOv8",[]
5103,30DaysNow,Discover our Mindfulness and Meditation books on Amazon - just look for authors Harper Daniels and Corin Devaso. You can also visit https://t.co/c4v4JcN4XP.,,2523,3143,1671,0,"@_whitneywebb The ""Vaccine Journal"" on Amazon is a great way to keep record of vaccinations and immunizations. Get one for yourself and family and #retweet! #VaccineJournal #vaccine #vaccinepassports #immunization #covid #covid19 #covidvaccine #COVID19Vaccine #immune

https://t.co/dE9y7k9qWc","['retweet', 'VaccineJournal', 'vaccine', 'vaccinepassports', 'immunization', 'covid', 'covid19', 'covidvaccine', 'COVID19Vaccine', 'immune']"
5104,perrin_meghan,Policy + FLHS @AllianceON • MHSc(C) Health Admin @ihpmeuoft • Built to Lead Podcast • #HealthEquity #SDOH #ClimateCrisis #ONFr • Paddle+Hike • She/Her/Elle,Tkaronto ,952,271,739,38,"We’ve produced multilingual infographics to explain the new “Shutdown” category of COVID19 restrictions. Please share widely! 

Follow the link for graphics in: SP, AR, NE, SO, EN, FR 

https://t.co/jmYyW7exBx https://t.co/Efoz8dG4In",[]
5105,GauravM46182820,Still trying to figure out!,,217,31,7718,391,"Mumbai just crossed 9,000 fresh Covid19 cases in a single day for the first time in the pandemic.",[]
5106,Sun_Moon_13,Founder of Evolve Enterprises Pvt Ltd | Founder of Evolve Travel & Tour Maldives | CFO & CS of Kara Construction Pvt Ltd.,Maldives,454,233,15961,1,Traits of A Rich Person https://t.co/Vzfge9ltij #motivation #success #BILLIONAIRE #Inspiration #COVIDSecondWave #COVID #COVID19 #riches #BitTorrent #mindfulness #WritingCommunity #writing #writing #USA,"['motivation', 'success', 'BILLIONAIRE', 'Inspiration', 'COVIDSecondWave', 'COVID']"
5107,ynwaroma,la mia forza roma💐,#16,181,197,75,0,@Nikz_LFC @Covid19_VAX @ASRomaEN Lazio scored to add to pain,[]
5108,viralvideovlogs,"news news news and trends

https://t.co/2ScZqTGWgG",കേരളം,4516,6165,632552,2,"I’m just a doctor, standing in front of you @Twitter @TwitterSafety asking you to save lives - give us a way to report #COVID19 #Misinformation https://t.co/MtHxe5whdB https://t.co/4E2A5pWvIf",[]
5109,StarColombo,#FreeAveraMengistu #ReinstateGnasherJew #PastorCao #freeNazanin #JusticeForMalki  #FreeNavalny,,4992,2641,176625,6,"#HappyEaster 🎉 Easter is a holiday of hope and faith, a time to rethink on your actions and plans for life. Despite all the #COVID19 restrictions this year, we wish all our #Christian friends 🇰🇪🇹🇿🇺🇬🇸🇨🇲🇼 a happy and blessed Easter weekend! Warm wishes to you and your families 🙏 https://t.co/KC8NSFfiS9",['HappyEaster']
5110,JulieMDPanneton,"C. Tr. (EN-FR), FLMI. Autism, Sjogren & PTSD. I'm for equality of opportunity, social progress & fiscal responsibility. TWs = views. RTs/Follows ≠ endorsements",,1840,1328,55869,2,"I’m just a doctor, standing in front of you @Twitter @TwitterSafety asking you to save lives - give us a way to report #COVID19 #Misinformation https://t.co/MtHxe5whdB https://t.co/4E2A5pWvIf",[]
5111,CHANDRA17971642,"Appreciate the parents, their strength is in prayers Music Lover Boys.. 🎶🎵😘🤗","Banka, India",109,127,6350,8,"#BREAKING | Maharashtra reports 49,447 new #Covid19 cases in last 24 hours. This is the highest single day spike.

Updates: https://t.co/NLhd6gt2sG https://t.co/OppzFE0p7L","['BREAKING', 'Covid19']"
5112,sherhob,"Mom, Nana & RN, PhD. Compassion, Faith, Humility @BidenNurses https://t.co/535llUKPTX @ThisIsOurShot #BeKind #WearAMask #GetVaccinated #Buffalove",,1071,351,3439,0,@ChrisCuomo Incentives work-well established in health behavior change science. Need #access #equity Just got my @HealthNYGov Excelsior Pass! @BidenNurses founding member of @HHSGov COVID19 Community Corps. Join in the fight to protect America’s health #WeCanDoThis https://t.co/SpDViUNqNt,"['access', 'equity', 'WeCanDoThis']"
